url,state,constituency,osn,candidate_name,total_votes,vote_percent,evm_votes,party,postal_votes
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,5,AKULA PAUL,3225,0.27,3225,Pyramid Party of India,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,6,KATRAVATH VENKATESH,1679,0.14,1679,Bahujan Mukti Party,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,7,JANAIAH NANDIPATI,1048,0.09,1047,Telangana Sakalajanula Party,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,8,MEKALA SATHEESH REDDY,11288,0.96,11282,Janasena Party,6
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,9,LALU NAIK RAMAVATH,1008,0.09,1005,Bahujana Raajyam Party (Phule Ambedkar),3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,10,LITHESH SUNKARI,1053,0.09,1052,Social Justice Party of India,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,11,SOLIPURAM VENUGOPAL REDDY,1124,0.1,1124,Ambedkar National Congress,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,12,KARAMTOTHU MANGTHA,1897,0.16,1897,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,13,KIRAN VANGAPALLI,3366,0.29,3365,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,14,JAKKULA NAVEEN YADAV,3098,0.26,3098,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,15,THAGULLA JANARDHAN,1830,0.16,1830,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,16,THANDU UPENDAR,4175,0.36,4175,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,17,NAKIRIKANTI. CHITTEMMA,4965,0.42,4964,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,18,POLISHETTY VENKATESHWARLU,824,0.07,824,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,19,BANDARU NAGARAJU,557,0.05,557,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,20,MADHU SAPAVATH,2517,0.21,2516,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,21,MARRI. NEHEMIAH,1046,0.09,1046,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,22,MARAM VENKAT REDDY,8585,0.73,8585,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,23,MEKALA VENKANNA,2010,0.17,2009,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,24,RAMESH SUNKARA,1235,0.11,1235,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,25,ROYYALA. SRINIVASULU,5376,0.46,5376,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,26,LINGIDI VENKATESWARLU,1422,0.12,1422,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,27,SREENU VADTHYA,2643,0.22,2641,Independent,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,28,NOTA,5560,0.47,5547,None of the Above,13
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,1,ARVIND DHARMAPURI,480584,45.22,479748,Bharatiya Janata Party,836
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,2,KALVAKUNTLA KAVITHA,409709,38.55,409481,Telangana Rashtra Samithi,228
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,3,MADHU GOUD YASKHI,69240,6.52,69173,Indian National Congress,67
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,4,ANJAIAH KONDANI,1229,0.12,1229,Pyramid Party of India,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,5,BATHNATHE SHANKAR,2023,0.19,2019,Janasena Party,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,6,ROTTE CHAKRADHAR SHARMA,495,0.05,495,Samajwadi Forward Bloc,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,7,S. SAGAR,757,0.07,754,Bahujan Mukti Party,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,8,ANJAIAH,325,0.03,325,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,9,AYILENI VIKRAM REDDY,734,0.07,734,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,10,ALLOORI ANIL KUMAR,416,0.04,416,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,11,ALLURI LIMBA REDDY,662,0.06,662,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,12,AKULA HANMANDLU,1610,0.15,1610,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,13,ARE SAYANNA,851,0.08,851,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,14,ARMOOR SAGAR,1092,0.1,1092,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,15,ASLI GANESH,2648,0.25,2648,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,16,IPPA LACHANNA,6096,0.57,6096,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,17,URUMALLA LAXMA REDDY,1673,0.16,1673,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,18,ADAMALA RAVINDHAR REDDY,1035,0.1,1035,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,19,ELETI MOHAN REDDY,366,0.03,366,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,20,ELETI MALLA REDDY,243,0.02,243,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,21,ALETI RAJAREDDY,1189,0.11,1189,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,22,ANUGU THIRUMAL,366,0.03,366,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,23,ENUGU MALLESH,233,0.02,233,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,24,ENUGU RAJESHWER,238,0.02,238,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS294.htm?ac=4,Telangana,Nizamabad,25,ENUGU SHANKER,1365,0.13,1364,Independent,1
